208,520,299,665,fr,France,33,Add-On Multimedia
208,520,299,665,fr,France,33,Afone Mobile
208,520,28,655,fr,France,33,Airmob
208,520,299,665,fr,France,33,Alphalink
208,520,299,665,fr,France,33,Alphalink
208,520,299,665,fr,France,33,Annatel
208,520,92,2351,fr,France,33,IP Directions
208,520,299,665,fr,France,33,Atlas
208,520,299,665,fr,France,33,Auchan
208,520,299,665,fr,France,33,Auchan
208,520,299,665,fr,France,33,Axialys
208,520,299,665,fr,France,33,Bazile
208,520,299,665,fr,France,33,BJT
208,520,299,665,fr,France,33,BJT
208,520,88,2191,fr,France,33,Bouygues Telecom
208,520,21,543,fr,France,33,Bouygues Telecom
208,520,20,527,fr,France,33,Bouygues Telecom
208,520,299,665,fr,France,33,Bretagne Telecom
208,520,299,665,fr,France,33,CAT
208,520,299,665,fr,France,33,CELESTE
208,520,34,847,fr,France,33,Cellhire
208,520,299,665,fr,France,33,Codepi
208,520,299,665,fr,France,33,Coolwave
208,520,27,639,fr,France,33,Coriolis
208,520,299,665,fr,France,33,CPRO
208,520,299,665,fr,France,33,CRH
208,520,299,665,fr,France,33,CRT
208,520,299,665,fr,France,33,CTExcel
208,520,299,665,fr,France,33,Doctolib
208,520,299,665,fr,France,33,Failed Calls
208,520,999,2457,fr,France,33,Fix Line
208,520,299,665,fr,France,33,Foliateam
208,520,36,879,fr,France,33,Free Mobile
208,520,15,351,fr,France,33,Free Mobile
208,520,14,335,fr,France,33,Free Mobile
208,520,35,863,fr,France,33,Free Mobile
208,520,16,367,fr,France,33,Free Mobile
208,520,07,127,fr,France,33,GlobalStar
208,520,06,111,fr,France,33,GlobalStar
208,520,05,95,fr,France,33,GlobalStar
208,520,94,2383,fr,France,33,Halys
208,520,299,665,fr,France,33,Happy Telecom
208,520,299,665,fr,France,33,Hexatel
208,520,89,2207,fr,France,33,Hub One
208,520,299,665,fr,France,33,i-via
208,520,29,671,fr,France,33,Orange
208,520,37,895,fr,France,33,IP Directions
208,520,299,665,fr,France,33,IP Telecom
208,520,299,665,fr,France,33,Iptis
208,520,299,665,fr,France,33,JOi
208,520,299,665,fr,France,33,Kertel
208,520,299,665,fr,France,33,Keyyo Mobile
208,520,299,665,fr,France,33,La Poste Mobile
208,520,299,665,fr,France,33,La Poste Mobile
208,520,299,665,fr,France,33,LASOTEL
208,520,38,911,fr,France,33,Lebara
208,520,17,383,fr,France,33,Legos
208,520,299,665,fr,France,33,Linkt
208,520,299,665,fr,France,33,LITEYEAR
208,520,15,351,fr,France,33,Free Mobile
208,520,25,607,fr,France,33,Lycamobile
208,520,24,591,fr,France,33,MobiquiThings
208,520,03,63,fr,France,33,MobiquiThings
208,520,299,665,fr,France,33,Netcom
208,520,39,927,fr,France,33,Networth Telecom
208,520,299,665,fr,France,33,Nordnet
208,520,26,623,fr,France,33,NRJ
208,520,23,575,fr,France,33,Hub One
208,520,299,665,fr,France,33,onoff
208,520,299,665,fr,France,33,OpenIP
208,520,01,31,fr,France,33,Orange
208,520,32,815,fr,France,33,Orange
208,520,91,2335,fr,France,33,Orange
208,520,02,47,fr,France,33,Orange
208,520,299,665,fr,France,33,Paritel
208,520,299,665,fr,France,33,Prixtel
208,520,299,665,fr,France,33,Prixtel
208,520,10,271,fr,France,33,SFR
208,520,299,665,fr,France,33,SCT TELECOM
208,520,299,665,fr,France,33,SCT TELECOM
208,520,299,665,fr,France,33,Sewan Communications
208,520,11,287,fr,France,33,SFR
208,520,13,319,fr,France,33,SFR
208,520,09,159,fr,France,33,SFR
208,520,10,271,fr,France,33,SFR
208,520,08,143,fr,France,33,SFR
208,520,299,665,fr,France,33,SIMbioz
208,520,04,79,fr,France,33,Axialys
208,520,30,783,fr,France,33,Syma Mobile
208,520,299,665,fr,France,33,TDF
208,520,00,15,fr,France,33,Tel/Tel
208,520,299,665,fr,France,33,Tismi
208,520,22,559,fr,France,33,Transatel
208,520,299,665,fr,France,33,Trunkline
208,520,12,303,fr,France,33,Truphone
208,520,299,665,fr,France,33,unyc
208,520,299,665,fr,France,33,VA SOLUTIONS
208,520,31,799,fr,France,33,Vectone Mobile
208,520,299,665,fr,France,33,VOIP Telecom
